,縣市,鄉鎮,村里,土石流潛勢溪流編號,重要地標,參考雨量站  第一參考/第二參考,警戒值
0,臺東縣,東河鄉,東河村,東縣DF149,台11線134.6K出水橋,東河/  都蘭,550
1,臺東縣,東河鄉,北源村,東縣DF135,台23線27.1K,北源/  七塊厝,550
2,臺東縣,東河鄉,北源村,東縣DF134,台23線30.1K德高橋,北源/  七塊厝,550
3,臺東縣,東河鄉,北源村,東縣DF133,台23線31.4K北溪橋,北源/  七塊厝,550
4,臺東縣,東河鄉,北源村,東縣DF132,台23線34.6K花固橋,北源/  七塊厝,550
5,臺東縣,東河鄉,北源村,東縣DF131,台23線24.3K第十六號橋,北源/  七塊厝,550
6,臺東縣,延平鄉,鸞山村,東縣DF033,鸞山橋,鹿野/  臺東茶改,500
7,臺東縣,延平鄉,桃源村,東縣DF031,鹿鳴橋,延平/  鹿鳴橋,500
8,臺東縣,延平鄉,桃源村,東縣DF030,鹿鳴路206號旁無名橋,延平/  鹿鳴橋,500
9,臺東縣,延平鄉,桃源村,東縣DF029,松楓橋,延平/  鹿鳴橋,500
